BUSINESS MODE;SOURCE;ROW;CRS DATE;COUNT;CLEARING AMOUNT;TOTAL COUNT;TOTAL CLEARING AMOUNT;REPORT DATE;PAGE
ISSUER TRANSACTIONS;PURCHASE;ORIGINAL SALE RECEIVED FROM VISA;;610;-10.247,27;;;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;610;-10.247,27;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;ORIGINAL SALE REVERSAL RECEIVED FROM VISA;;1;24,39;;;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;1;24,39;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE FIN FROM VROL ORG        (+);;15;286,04;;;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;15;286,04;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE FIN REVERSAL FROM VROL ORG        (+);;1;-19,00;;;07AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;1;-19,00;07AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE; RECEIVED FROM VISA;;611;-10.222,88;;;07AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE; FROM VROL ORG        (+);;16;267,04;;;07AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;627;-9.955,84;07AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE;TOTAL TRANSACTIONS ;;;;627;-9.955,84;07AUG20;1
ISSUER TRANSACTIONS;MERCHANDISE CREDIT;ORIGINAL RECEIVED FROM VISA;;55;1.527,65;;;07AUG20;1
ISSUER TRANSACTIONS;MERCHANDISE CREDIT;TOTAL SENT TO SETTLEMENT ;;;;55;1.527,65;07AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;666;-8.695,23;;;07AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;16;267,04;;;07AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL SENT TO SETTLEMENT ;;;;682;-8.428,19;07AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;682;-8.428,19;07AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;682;-8.428,19;07AUG20;1
ISSUER TRANSACTIONS;POS AUTHORIZATION;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;243.918;;;;07AUG20;2
ISSUER TRANSACTIONS;POS AUTHORIZATION;TOTAL NON-FINANCIAL ;;;;243.918;;07AUG20;2
ISSUER TRANSACTIONS;POS AUTH REVERSAL;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;8.149;;;;07AUG20;2
ISSUER TRANSACTIONS;POS AUTH REVERSAL;TOTAL NON-FINANCIAL ;;;;8.149;;07AUG20;2
ISSUER TRANSACTIONS;ATM DECLINE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;140;;;;07AUG20;2
ISSUER TRANSACTIONS;ATM DECLINE;TOTAL NON-FINANCIAL ;;;;140;;07AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;252.207;;;;07AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL NON-FINANCIAL ;;;;252.207;;07AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;252.207;;07AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;252.207;;07AUG20;2
OTHER TRANSACTIONS;DISPUTE FIN STATUS ADV;NON-FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;16;;;;07AUG20;3
OTHER TRANSACTIONS;DISPUTE FIN STATUS ADV;TOTAL NON-FINANCIAL ;;;;16;;07AUG20;3
OTHER TRANSACTIONS;TEXT MESSAGE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;691;;;;07AUG20;3
OTHER TRANSACTIONS;TEXT MESSAGE;TOTAL NON-FINANCIAL ;;;;691;;07AUG20;3
OTHER TRANSACTIONS;TABLE UPDATES;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;2.242;;;;07AUG20;3
OTHER TRANSACTIONS;TABLE UPDATES;TOTAL NON-FINANCIAL ;;;;2.242;;07AUG20;3
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;2.933;;;;07AUG20;3
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;16;;;;07AUG20;3
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;TOTAL NON-FINANCIAL ;;;;2.949;;07AUG20;3
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;2.949;;07AUG20;3
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;2.949;;07AUG20;3
