SOURCE;COUNT;INTERCHANGE AMOUNT;REIMBURSEMENT FEE CREDITS;REIMBURSEMENT FEE DEBITS;REPORT DATE;PAGE
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL U.S.A. - L.A.C.'];;;44,75;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'TOTAL VISA INTERNATIONAL'];;;145,16;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'PARAGUAY - BRAZIL', 'LAC ELECTRONIC'];2;-57,58;0,63;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'PUERTORI - BRAZIL', 'STANDARD'];3;-25,64;0,42;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'TOTAL VISA L.A.C.'];;;1,05;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'TOTAL ORIGINAL SALE'];;;146,21;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - A.P.', 'DISP FIN'];6;22,69;;0,36;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - E.U.', 'DISP FIN'];16;195,62;;2,94;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - U.S.A.', 'DISP FIN'];13;189,14;;3,03;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'TOTAL VISA INTERNATIONAL'];;;;6,33;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA L.A.C.', 'BRAZIL - EL SALV.', 'DISP FIN'];3;70,07;;1,12;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'TOTAL DISPUTE FIN'];;;;7,45;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN            RVRSL', 'VISA INTERNATIONAL', 'L.A.C. - E.U.', 'DISP FIN RVRSL'];1;-37,03;0,53;;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN            RVRSL', 'VISA INTERNATIONAL', 'L.A.C. - U.S.A.', 'DISP FIN RVRSL'];1;-10,00;0,16;;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN            RVRSL', 'TOTAL VISA INTERNATIONAL'];;;0,69;;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE RESP FIN', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'DISP RESP FIN'];1;-52,73;0,84;;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE RESP FIN', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'DISP RESP FIN'];1;-54,86;0,81;;06AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE RESP FIN', 'TOTAL VISA INTERNATIONAL'];;;1,65;;06AUG20;2
['ISSUER TRANSACTIONS', 'TOTAL PURCHASE'];651;-9.408,96;148,55;7,45;06AUG20;2
['ISSUER TRANSACTIONS', 'NET   PURCHASE'];;;141,10;;06AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'STANDARD'];6;612,75;;9,80;06AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT VCHMR CR'];24;603,93;0,00;;06AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'CHIP ISS'];4;150,95;;1,81;06AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'STANDARD'];19;210,73;;3,37;06AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'TOTAL U.S.A. - L.A.C.'];;;;5,18;06AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'TOTAL VISA INTERNATIONAL'];;;;14,98;06AUG20;2
['ISSUER TRANSACTIONS', 'TOTAL MERCHANDISE CREDIT'];53;1.578,36;;14,98;06AUG20;2
['ISSUER TRANSACTIONS', 'NET   MERCHANDISE CREDIT'];;;;14,98;06AUG20;2
['ISSUER TRANSACTIONS', 'ATM CASH', 'ORIGINAL WITHDRAWAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'ATM DCC NO AF'];1;-13,24;;0,02;06AUG20;3
['ISSUER TRANSACTIONS', 'ATM CASH', 'ORIGINAL WITHDRAWAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'ATM NO AF'];1;-119,07;;1,27;06AUG20;3
['ISSUER TRANSACTIONS', 'ATM CASH', 'ORIGINAL WITHDRAWAL', 'VISA INTERNATIONAL', 'TOTAL E.U. - L.A.C.'];;;;1,29;06AUG20;3
['ISSUER TRANSACTIONS', 'TOTAL ATM CASH'];2;-132,31;;1,29;06AUG20;3
['ISSUER TRANSACTIONS', 'NET   ATM CASH'];;;;1,29;06AUG20;3
['ISSUER TRANSACTIONS', 'ORIGINAL CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'ORIGINAL CREDIT'];1;53,55;0,29;;06AUG20;3
['ISSUER TRANSACTIONS', 'ORIGINAL CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'ORIGINAL CREDIT'];1;9,41;0,29;;06AUG20;3
['ISSUER TRANSACTIONS', 'ORIGINAL CREDIT', 'ORIGINAL', 'TOTAL VISA INTERNATIONAL'];;;0,58;;06AUG20;3
['ISSUER TRANSACTIONS', 'TOTAL ORIGINAL CREDIT'];2;62,96;0,58;;06AUG20;3
['ISSUER TRANSACTIONS', 'NET   ORIGINAL CREDIT'];;;0,58;;06AUG20;3
['ISSUER TRANSACTIONS', 'ATM DECLINE', 'ORIGINAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'ATM DECLINE'];2;0,00;;0,60;06AUG20;3
['ISSUER TRANSACTIONS', 'TOTAL ATM DECLINE'];2;0,00;;0,60;06AUG20;3
['ISSUER TRANSACTIONS', 'NET   ATM DECLINE'];;;;0,60;06AUG20;3
['TOTAL ISSUER REIMB FEES'];;;149,13;24,32;06AUG20;3
['NET   ISSUER REIMB FEES'];;;124,81;;06AUG20;3
