SOURCE;COUNT;INTERCHANGE AMOUNT;REIMBURSEMENT FEE CREDITS;REIMBURSEMENT FEE DEBITS;REPORT DATE;PAGE
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'ELECTRONIC'];1;-19,30;0,21;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'STANDARD'];28;-440,95;7,06;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL A.P. - L.A.C.'];;;7,27;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'CANADA - L.A.C.', 'STANDARD'];7;-221,35;3,55;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CN CR'];12;-212,59;0,64;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CNPCNCR'];364;-5.677,63;85,16;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'ELECTRONIC'];1;-31,28;0,34;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'STANDARD'];12;-181,28;2,90;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL E.U. - L.A.C.'];;;89,04;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'C.E.M.E.A - L.A.C.', 'NONAUTHND MRCH'];1;-37,97;0,55;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'ELECTRONIC'];3;-67,20;0,74;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'NONAUTHND MRCH'];9;-79,31;1,14;;06AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'STANDARD'];166;-2.679,78;42,87;;06AUG20;1
