BUSINESS MODE;SOURCE;ROW;CRS DATE;COUNT;CLEARING AMOUNT;TOTAL COUNT;TOTAL CLEARING AMOUNT;REPORT DATE;PAGE
ISSUER TRANSACTIONS;PURCHASE;ORIGINAL SALE RECEIVED FROM VISA;;609;-9.731,86;;;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;609;-9.731,86;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE FIN FROM VROL ORG        (+);;38;477,52;;;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;38;477,52;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE FIN REVERSAL FROM VROL ORG        (+);;2;-45,00;;;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;2;-45,00;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE RESP FIN RECEIVED FROM VISA;;2;-107,59;;;06AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;2;-107,59;06AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE; RECEIVED FROM VISA;;611;-9.839,45;;;06AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE; FROM VROL ORG        (+);;40;432,52;;;06AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;651;-9.406,93;06AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE;TOTAL TRANSACTIONS ;;;;651;-9.406,93;06AUG20;1
ISSUER TRANSACTIONS;MERCHANDISE CREDIT;ORIGINAL RECEIVED FROM VISA;;53;1.578,36;;;06AUG20;1
ISSUER TRANSACTIONS;MERCHANDISE CREDIT;TOTAL SENT TO SETTLEMENT ;;;;53;1.578,36;06AUG20;1
ISSUER TRANSACTIONS;ATM CASH;ORIGINAL WITHDRAWAL RECEIVED FROM VISA;;2;-132,31;;;06AUG20;1
ISSUER TRANSACTIONS;ATM CASH;TOTAL SENT TO SETTLEMENT ;;;;2;-132,31;06AUG20;1
ISSUER TRANSACTIONS;ORIGINAL CREDIT; RECEIVED FROM VISA;;2;62,96;;;06AUG20;1
ISSUER TRANSACTIONS;ORIGINAL CREDIT;TOTAL SENT TO SETTLEMENT ;;;;2;62,96;06AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;668;-8.330,44;;;06AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;40;432,52;;;06AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL SENT TO SETTLEMENT ;;;;708;-7.897,92;06AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL SENT TO SETTLEMENT ;;;;708;-7.897,92;06AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;708;-7.897,92;06AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;708;-7.897,92;06AUG20;2
ISSUER TRANSACTIONS;POS AUTHORIZATION;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;218.472;;;;06AUG20;3
ISSUER TRANSACTIONS;POS AUTHORIZATION;TOTAL NON-FINANCIAL ;;;;218.472;;06AUG20;3
ISSUER TRANSACTIONS;POS AUTH REVERSAL;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;7.665;;;;06AUG20;3
ISSUER TRANSACTIONS;POS AUTH REVERSAL;TOTAL NON-FINANCIAL ;;;;7.665;;06AUG20;3
ISSUER TRANSACTIONS;ATM AUTHORIZATION;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;2;;;;06AUG20;3
ISSUER TRANSACTIONS;ATM AUTHORIZATION;TOTAL NON-FINANCIAL ;;;;2;;06AUG20;3
ISSUER TRANSACTIONS;ATM DECLINE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;114;;;;06AUG20;3
ISSUER TRANSACTIONS;ATM DECLINE;TOTAL NON-FINANCIAL ;;;;114;;06AUG20;3
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;226.253;;;;06AUG20;3
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL NON-FINANCIAL ;;;;226.253;;06AUG20;3
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;226.253;;06AUG20;3
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;226.253;;06AUG20;3
OTHER TRANSACTIONS;DISPUTE FIN STATUS ADV;NON-FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;40;;;;06AUG20;4
OTHER TRANSACTIONS;DISPUTE FIN STATUS ADV;TOTAL NON-FINANCIAL ;;;;40;;06AUG20;4
OTHER TRANSACTIONS;TEXT MESSAGE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;506;;;;06AUG20;4
OTHER TRANSACTIONS;TEXT MESSAGE;TOTAL NON-FINANCIAL ;;;;506;;06AUG20;4
OTHER TRANSACTIONS;TABLE UPDATES;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;2.328;;;;06AUG20;4
OTHER TRANSACTIONS;TABLE UPDATES;TOTAL NON-FINANCIAL ;;;;2.328;;06AUG20;4
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;2.834;;;;06AUG20;4
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;40;;;;06AUG20;4
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;TOTAL NON-FINANCIAL ;;;;2.874;;06AUG20;4
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;2.874;;06AUG20;4
OTHER TRANSACTIONS;TOTAL OTHER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;2.874;;06AUG20;4
