SOURCE;COUNT;INTERCHANGE AMOUNT;REIMBURSEMENT FEE CREDITS;REIMBURSEMENT FEE DEBITS;REPORT DATE;PAGE
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'URUGUAY - BRAZIL', 'LAC ELECTRONIC'];2;-25,90;0,28;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'TOTAL VISA L.A.C.'];;;4,30;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'TOTAL ORIGINAL SALE'];;;151,07;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE          RVRSL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CNPCNCR'];1;24,39;;0,37;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - A.P.', 'DISP FIN'];2;33,53;;0,54;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - E.U.', 'DISP FIN'];6;47,25;;0,71;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - U.S.A.', 'DISP FIN'];5;53,34;;0,85;07AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'TOTAL VISA INTERNATIONAL'];;;;2,10;07AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA L.A.C.', 'BRAZIL - BOLIVIA', 'DISP FIN'];1;131,92;;2,11;07AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA L.A.C.', 'BRAZIL - EL SALV.', 'DISP FIN'];1;20,00;;0,32;07AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'TOTAL VISA L.A.C.'];;;;2,43;07AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'TOTAL DISPUTE FIN'];;;;4,53;07AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN            RVRSL', 'VISA INTERNATIONAL', 'L.A.C. - U.S.A.', 'DISP FIN RVRSL'];1;-19,00;0,30;;07AUG20;2
['ISSUER TRANSACTIONS', 'TOTAL PURCHASE'];627;-9.955,84;151,37;4,90;07AUG20;2
['ISSUER TRANSACTIONS', 'NET   PURCHASE'];;;146,47;;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'STANDARD'];4;175,03;;2,80;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'CANADA - L.A.C.', 'CHIP ISS'];1;127,20;;1,53;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT VCHMR CR'];23;775,71;0,00;;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'STANDARD'];1;8,00;;0,13;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'TOTAL E.U. - L.A.C.'];;;;0,13;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'CHIP ISS'];10;320,77;;3,84;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'STANDARD'];16;120,94;;1,94;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'VISA INTERNATIONAL', 'TOTAL U.S.A. - L.A.C.'];;;;5,78;07AUG20;2
['ISSUER TRANSACTIONS', 'MERCHANDISE CREDIT', 'ORIGINAL', 'TOTAL VISA INTERNATIONAL'];;;;10,24;07AUG20;2
['ISSUER TRANSACTIONS', 'TOTAL MERCHANDISE CREDIT'];55;1.527,65;;10,24;07AUG20;2
['ISSUER TRANSACTIONS', 'NET   MERCHANDISE CREDIT'];;;;10,24;07AUG20;2
['TOTAL ISSUER REIMB FEES'];;;151,37;15,14;07AUG20;2
['NET   ISSUER REIMB FEES'];;;136,23;;07AUG20;2
