SOURCE;COUNT;INTERCHANGE AMOUNT;REIMBURSEMENT FEE CREDITS;REIMBURSEMENT FEE DEBITS;REPORT DATE;PAGE
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'STANDARD'];25;-593,97;9,50;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'CANADA - L.A.C.', 'STANDARD'];7;-299,50;4,79;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CN CR'];13;-379,59;1,14;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CNPCNCR'];369;-5.088,20;76,32;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'STANDARD'];9;-71,15;1,14;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL E.U. - L.A.C.'];;;78,60;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'ELECTRONIC'];2;-526,84;5,80;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'NONAUTHND MRCH'];5;-50,87;0,73;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'STANDARD'];166;-2.959,90;47,35;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL U.S.A. - L.A.C.'];;;53,88;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'TOTAL VISA INTERNATIONAL'];;;146,77;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'ARGENTIN - BRAZIL', 'STANDARD'];7;-85,72;1,37;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'MEXICO - BRAZIL', 'STANDARD'];1;-162,00;2,59;;07AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'PUERTORI - BRAZIL', 'STANDARD'];4;-3,63;0,06;;07AUG20;1
